symbol,buy_date,buy_amount,buy_price,sell_date,sell_amount,sell_price,type,decision_tool,avg_percent_change,proportion_up,unique_patterns,norm_avg_value,week_rank
CRVS,2020-07-06,1,2.6,,,,dummy,screen-pattern-match.R,1.0514,0.6,5,5.3387,284
RBS,2020-07-06,1,3.15,,,,dummy,screen-pattern-match.R,1.0513,0.4,5,5.1965,285
MDRX,2020-07-06,1,6.64,,,,dummy,screen-pattern-match.R,1.0512,0.6,8,12.6584,286
TESS,2020-07-06,1,5.34,,,,dummy,screen-pattern-match.R,1.0511,0.5,6,44.2185,287
HTH,2020-07-06,1,17.540001,,,,dummy,screen-pattern-match.R,1.051,0.7,6,16.4458,288
NCNA,2020-07-06,1,5.387,,,,dummy,screen-pattern-match.R,1.0509,0.6,4,4.7273,289
CBRE,2020-07-06,1,45.509998,,,,dummy,screen-pattern-match.R,1.0509,0.9,4,9.6458,290
QUOT,2020-07-06,1,7.44,,,,dummy,screen-pattern-match.R,1.0507,0.5,5,3.9765,291
RTLR,2020-07-06,1,9.52,,,,dummy,screen-pattern-match.R,1.0505,0.6,4,4.8202,292
NERV,2020-07-06,1,3.56,,,,dummy,screen-pattern-match.R,1.0504,0.9,4,4.0783,293
VOXX,2020-07-06,1,5.62,,,,dummy,screen-pattern-match.R,1.0503,0.9,3,2.9809,294
DFVL,2020-07-06,1,85.449997,,,,dummy,screen-pattern-match.R,1.0502,0.7,2,5.859,295
PLMR,2020-07-06,1,87.510002,,,,dummy,screen-pattern-match.R,1.0502,0.9,3,1.8141,296
SY,2020-07-06,1,14.76,,,,dummy,screen-pattern-match.R,1.0502,0.7,3,1.8666,297
OBCI,2020-07-06,1,13.05,,,,dummy,screen-pattern-match.R,1.0501,0.6,5,1.4927,298
